timestamp,window_title,application,cpu_percent,memory_percent,battery_percent,is_charging,active_process_count,network_bytes_sent,network_bytes_recv,screen_resolution,idle_time
2025-02-27T12:22:44.878546,mac_monitor.py — aixplain-monitor,Cursor,11.4,55.9,100.0,1,851,7676273664,4482463744,"0, 0, 1512, 982",0
2025-02-27T12:22:51.272531,mac_monitor.py — aixplain-monitor,Cursor,0.0,55.1,100.0,1,851,7676283904,4482470912,"0, 0, 1512, 982",0
2025-02-27T12:22:57.696889,Discover | aiXplain - Google Chrome - Win (Work),Google Chrome,4.8,55.5,100.0,1,851,7676298240,4482489344,"0, 0, 1512, 982",0
2025-02-27T12:23:04.121151,How to build an agent | aiXplain - Google Chrome - Win (Work),Google Chrome,8.2,55.8,100.0,1,851,7676320768,4482515968,"0, 0, 1512, 982",0
2025-02-27T12:23:10.520829,How to build an agent | aiXplain - Google Chrome - Win (Work),Google Chrome,2.8,55.3,100.0,1,850,7676379136,4482578432,"0, 0, 1512, 982",0
2025-02-27T12:23:16.905612,How to build an agent | aiXplain - Google Chrome - Win (Work),Google Chrome,0.0,55.5,100.0,1,850,7676402688,4482595840,"0, 0, 1512, 982",0
2025-02-27T12:23:23.313246,How to build an agent | aiXplain - Google Chrome - Win (Work),Google Chrome,4.1,55.1,100.0,1,851,7676421120,4482615296,"0, 0, 1512, 982",0
2025-02-27T12:23:29.718423,How to build an agent | aiXplain - Google Chrome - Win (Work),Google Chrome,3.4,55.2,100.0,1,851,7676435456,4482635776,"0, 0, 1512, 982",0
2025-02-27T12:23:36.177515,Agents | aiXplain - Google Chrome - Win (Work),Google Chrome,4.1,55.7,100.0,1,851,7676444672,4482641920,"0, 0, 1512, 982",0
2025-02-27T12:23:42.632948,Python | aiXplain - Google Chrome - Win (Work),Google Chrome,12.8,56.0,100.0,1,855,7676708864,4482726912,"0, 0, 1512, 982",0
2025-02-27T12:23:48.960064,Python | aiXplain - Google Chrome - Win (Work),Google Chrome,7.9,55.9,100.0,1,855,7676738560,4482781184,"0, 0, 1512, 982",0
2025-02-27T12:23:55.316461,Python | aiXplain - Google Chrome - Win (Work),Google Chrome,6.0,56.2,100.0,1,854,7676749824,4482791424,"0, 0, 1512, 982",0
2025-02-27T12:24:01.757458,Python | aiXplain - Google Chrome - Win (Work),Google Chrome,3.4,55.9,100.0,1,854,7676771328,4482808832,"0, 0, 1512, 982",0
